2023-05-22 08:39: Experiment log path in: C:\旧电脑文件\毕业相关\第二个模型\TATCN\TARGCN\model\experiments\PEMSD4\20230522083953
2023-05-22 08:47: Train Epoch 129: 120/317 Loss: 19.894278
2023-05-22 08:47: Train Epoch 129: 140/317 Loss: 16.509691
2023-05-22 08:48: Train Epoch 129: 160/317 Loss: 18.744572
2023-05-22 08:48: Train Epoch 129: 180/317 Loss: 17.804333
2023-05-22 08:48: Train Epoch 129: 200/317 Loss: 17.376961
2023-05-22 08:48: Train Epoch 129: 220/317 Loss: 18.990776
2023-05-22 08:48: Train Epoch 129: 240/317 Loss: 17.532536
2023-05-22 08:48: Train Epoch 129: 260/317 Loss: 18.704063
2023-05-22 08:48: Train Epoch 129: 280/317 Loss: 19.023960
2023-05-22 08:48: Train Epoch 129: 300/317 Loss: 17.314354
2023-05-22 08:48: **********Train Epoch 129: averaged Loss: 18.048731, tf_ratio: 1.000000
2023-05-22 08:48: **********Val Epoch 129: average Loss: 19.444132
2023-05-22 08:48: Train Epoch 130: 0/317 Loss: 17.727509
2023-05-22 08:48: Train Epoch 130: 20/317 Loss: 18.065886
2023-05-22 08:48: Train Epoch 130: 40/317 Loss: 16.752144
2023-05-22 08:49: Train Epoch 130: 60/317 Loss: 17.202438
2023-05-22 08:49: Train Epoch 130: 80/317 Loss: 19.068829
2023-05-22 08:49: Train Epoch 130: 100/317 Loss: 17.848259
2023-05-22 08:49: Train Epoch 130: 120/317 Loss: 17.169422
2023-05-22 08:49: Train Epoch 130: 140/317 Loss: 18.320263
2023-05-22 08:49: Train Epoch 130: 160/317 Loss: 16.901213
2023-05-22 08:49: Train Epoch 130: 180/317 Loss: 14.966714
2023-05-22 08:49: Train Epoch 130: 200/317 Loss: 16.757212
2023-05-22 08:49: Train Epoch 130: 220/317 Loss: 19.562586
2023-05-22 08:49: Train Epoch 130: 240/317 Loss: 16.752153
2023-05-22 08:49: Train Epoch 130: 260/317 Loss: 19.171146
2023-05-22 08:49: Train Epoch 130: 280/317 Loss: 19.335350
2023-05-22 08:50: Train Epoch 130: 300/317 Loss: 18.148497
2023-05-22 08:50: **********Train Epoch 130: averaged Loss: 17.970303, tf_ratio: 1.000000
2023-05-22 08:50: **********Val Epoch 130: average Loss: 19.388131
2023-05-22 08:50: Train Epoch 131: 0/317 Loss: 18.506342
2023-05-22 08:50: Train Epoch 131: 20/317 Loss: 19.700975
2023-05-22 08:50: Train Epoch 131: 40/317 Loss: 18.125860
2023-05-22 08:50: Train Epoch 131: 60/317 Loss: 17.433060
2023-05-22 08:50: Train Epoch 131: 80/317 Loss: 18.723597
2023-05-22 08:50: Train Epoch 131: 100/317 Loss: 20.690491
2023-05-22 08:50: Train Epoch 131: 120/317 Loss: 17.327932
2023-05-22 08:50: Train Epoch 131: 140/317 Loss: 17.174093
2023-05-22 08:50: Train Epoch 131: 160/317 Loss: 17.415121
2023-05-22 08:50: Train Epoch 131: 180/317 Loss: 16.105558
2023-05-22 08:51: Train Epoch 131: 200/317 Loss: 18.732790
2023-05-22 08:51: Train Epoch 131: 220/317 Loss: 17.887939
2023-05-22 08:51: Train Epoch 131: 240/317 Loss: 19.332977
2023-05-22 08:51: Train Epoch 131: 260/317 Loss: 17.727873
2023-05-22 08:51: Train Epoch 131: 280/317 Loss: 18.485537
2023-05-22 08:51: Train Epoch 131: 300/317 Loss: 18.336336
2023-05-22 08:51: **********Train Epoch 131: averaged Loss: 17.975986, tf_ratio: 1.000000
2023-05-22 08:51: **********Val Epoch 131: average Loss: 19.730761
2023-05-22 08:51: Train Epoch 132: 0/317 Loss: 17.409948
2023-05-22 08:51: Train Epoch 132: 20/317 Loss: 18.829865
2023-05-22 08:51: Train Epoch 132: 40/317 Loss: 19.477751
2023-05-22 08:51: Train Epoch 132: 60/317 Loss: 18.478149
2023-05-22 08:51: Train Epoch 132: 80/317 Loss: 16.915430
2023-05-22 08:52: Train Epoch 132: 100/317 Loss: 16.274090
2023-05-22 08:52: Train Epoch 132: 120/317 Loss: 16.403206
2023-05-22 08:52: Train Epoch 132: 140/317 Loss: 18.036964
2023-05-22 08:52: Train Epoch 132: 160/317 Loss: 18.775024
2023-05-22 08:52: Train Epoch 132: 180/317 Loss: 17.319098
2023-05-22 08:52: Train Epoch 132: 200/317 Loss: 17.435837
2023-05-22 08:52: Train Epoch 132: 220/317 Loss: 17.422716
2023-05-22 08:52: Train Epoch 132: 240/317 Loss: 19.389210
2023-05-22 08:52: Train Epoch 132: 260/317 Loss: 17.778982
2023-05-22 08:52: Train Epoch 132: 280/317 Loss: 18.514353
2023-05-22 08:52: Train Epoch 132: 300/317 Loss: 17.731882
2023-05-22 08:52: **********Train Epoch 132: averaged Loss: 17.877790, tf_ratio: 1.000000
2023-05-22 08:53: **********Val Epoch 132: average Loss: 19.498943
2023-05-22 08:53: Train Epoch 133: 0/317 Loss: 17.909462
2023-05-22 08:53: Train Epoch 133: 20/317 Loss: 20.864277
2023-05-22 08:53: Train Epoch 133: 40/317 Loss: 17.708954
2023-05-22 08:53: Train Epoch 133: 60/317 Loss: 18.006578
2023-05-22 08:53: Train Epoch 133: 80/317 Loss: 17.525820
2023-05-22 08:53: Train Epoch 133: 100/317 Loss: 17.011858
2023-05-22 08:53: Train Epoch 133: 120/317 Loss: 16.499508
2023-05-22 08:53: Train Epoch 133: 140/317 Loss: 16.768888
2023-05-22 08:53: Train Epoch 133: 160/317 Loss: 16.935867
2023-05-22 08:53: Train Epoch 133: 180/317 Loss: 15.921123
2023-05-22 08:53: Train Epoch 133: 200/317 Loss: 16.435789
2023-05-22 08:54: Train Epoch 133: 220/317 Loss: 20.473545
2023-05-22 08:54: Train Epoch 133: 240/317 Loss: 17.082136
2023-05-22 08:54: Train Epoch 133: 260/317 Loss: 18.798954
2023-05-22 08:54: Train Epoch 133: 280/317 Loss: 18.089598
2023-05-22 08:54: Train Epoch 133: 300/317 Loss: 18.039070
2023-05-22 08:54: **********Train Epoch 133: averaged Loss: 17.961919, tf_ratio: 1.000000
2023-05-22 08:54: **********Val Epoch 133: average Loss: 19.562149
2023-05-22 08:54: Train Epoch 134: 0/317 Loss: 15.620691
2023-05-22 08:54: Train Epoch 134: 20/317 Loss: 19.892450
2023-05-22 08:54: Train Epoch 134: 40/317 Loss: 19.757164
2023-05-22 08:54: Train Epoch 134: 60/317 Loss: 17.803675
2023-05-22 08:54: Train Epoch 134: 80/317 Loss: 17.057432
2023-05-22 08:54: Train Epoch 134: 100/317 Loss: 19.290573
2023-05-22 08:55: Train Epoch 134: 120/317 Loss: 19.847992
2023-05-22 08:55: Train Epoch 134: 140/317 Loss: 17.203928
2023-05-22 08:55: Train Epoch 134: 160/317 Loss: 20.411898
2023-05-22 08:55: Train Epoch 134: 180/317 Loss: 17.855053
2023-05-22 08:55: Train Epoch 134: 200/317 Loss: 16.332254
2023-05-22 08:55: Train Epoch 134: 220/317 Loss: 18.243629
2023-05-22 08:55: Train Epoch 134: 240/317 Loss: 15.227342
2023-05-22 08:55: Train Epoch 134: 260/317 Loss: 19.620668
2023-05-22 08:55: Train Epoch 134: 280/317 Loss: 17.065588
2023-05-22 08:55: Train Epoch 134: 300/317 Loss: 19.398514
2023-05-22 08:55: **********Train Epoch 134: averaged Loss: 17.930953, tf_ratio: 1.000000
2023-05-22 08:55: **********Val Epoch 134: average Loss: 19.468583
2023-05-22 08:55: Train Epoch 135: 0/317 Loss: 18.890102
2023-05-22 08:56: Train Epoch 135: 20/317 Loss: 19.352938
2023-05-22 08:56: Train Epoch 135: 40/317 Loss: 17.133743
2023-05-22 08:56: Train Epoch 135: 60/317 Loss: 19.401552
2023-05-22 08:56: Train Epoch 135: 80/317 Loss: 16.929228
2023-05-22 08:56: Train Epoch 135: 100/317 Loss: 17.823914
2023-05-22 08:56: Train Epoch 135: 120/317 Loss: 16.855280
2023-05-22 08:56: Train Epoch 135: 140/317 Loss: 18.976328
2023-05-22 08:56: Train Epoch 135: 160/317 Loss: 17.704046
2023-05-22 08:56: Train Epoch 135: 180/317 Loss: 16.459578
2023-05-22 08:56: Train Epoch 135: 200/317 Loss: 17.417589
2023-05-22 08:56: Train Epoch 135: 220/317 Loss: 18.701244
2023-05-22 08:56: Train Epoch 135: 240/317 Loss: 17.184137
2023-05-22 08:57: Train Epoch 135: 260/317 Loss: 19.395250
2023-05-22 08:57: Train Epoch 135: 280/317 Loss: 19.181177
2023-05-22 08:57: Train Epoch 135: 300/317 Loss: 17.558516
2023-05-22 08:57: **********Train Epoch 135: averaged Loss: 17.960091, tf_ratio: 1.000000
2023-05-22 08:57: **********Val Epoch 135: average Loss: 19.475727
2023-05-22 08:57: Train Epoch 136: 0/317 Loss: 20.144361
2023-05-22 08:57: Train Epoch 136: 20/317 Loss: 18.694117
2023-05-22 08:57: Train Epoch 136: 40/317 Loss: 15.718629
2023-05-22 08:57: Train Epoch 136: 60/317 Loss: 17.758501
2023-05-22 08:57: Train Epoch 136: 80/317 Loss: 18.941204
2023-05-22 08:57: Train Epoch 136: 100/317 Loss: 18.152687
2023-05-22 08:57: Train Epoch 136: 120/317 Loss: 16.297684
2023-05-22 08:58: Train Epoch 136: 140/317 Loss: 16.677179
2023-05-22 08:58: Train Epoch 136: 160/317 Loss: 18.458584
2023-05-22 08:58: Train Epoch 136: 180/317 Loss: 17.534418
2023-05-22 08:58: Train Epoch 136: 200/317 Loss: 17.371704
2023-05-22 08:58: Train Epoch 136: 220/317 Loss: 16.418257
2023-05-22 08:58: Train Epoch 136: 240/317 Loss: 15.746811
2023-05-22 08:58: Train Epoch 136: 260/317 Loss: 17.671263
2023-05-22 08:58: Train Epoch 136: 280/317 Loss: 18.054316
2023-05-22 08:58: Train Epoch 136: 300/317 Loss: 15.757109
2023-05-22 08:58: **********Train Epoch 136: averaged Loss: 17.888539, tf_ratio: 1.000000
2023-05-22 08:58: **********Val Epoch 136: average Loss: 19.482513
2023-05-22 08:58: Train Epoch 137: 0/317 Loss: 17.949726
2023-05-22 08:59: Train Epoch 137: 20/317 Loss: 16.764322
2023-05-22 08:59: Train Epoch 137: 40/317 Loss: 15.708211
2023-05-22 08:59: Train Epoch 137: 60/317 Loss: 17.298710
2023-05-22 08:59: Train Epoch 137: 80/317 Loss: 17.876003
2023-05-22 08:59: Train Epoch 137: 100/317 Loss: 19.380547
2023-05-22 08:59: Train Epoch 137: 120/317 Loss: 16.648958
2023-05-22 08:59: Train Epoch 137: 140/317 Loss: 17.274298
2023-05-22 08:59: Train Epoch 137: 160/317 Loss: 20.036993
2023-05-22 08:59: Train Epoch 137: 180/317 Loss: 17.862047
2023-05-22 08:59: Train Epoch 137: 200/317 Loss: 17.143114
2023-05-22 08:59: Train Epoch 137: 220/317 Loss: 17.458454
2023-05-22 09:00: Train Epoch 137: 240/317 Loss: 17.855028
2023-05-22 09:00: Train Epoch 137: 260/317 Loss: 17.890011
2023-05-22 09:00: Train Epoch 137: 280/317 Loss: 18.689333
2023-05-22 09:00: Train Epoch 137: 300/317 Loss: 19.264484
2023-05-22 09:00: **********Train Epoch 137: averaged Loss: 17.863531, tf_ratio: 1.000000
2023-05-22 09:00: **********Val Epoch 137: average Loss: 19.368949
2023-05-22 09:00: ******Current best model saved:model_para/PEMSD4/epoch_137.pth!
2023-05-22 09:00: Train Epoch 138: 0/317 Loss: 18.240654
2023-05-22 09:00: Train Epoch 138: 20/317 Loss: 17.277317
2023-05-22 09:00: Train Epoch 138: 40/317 Loss: 19.082266
2023-05-22 09:00: Train Epoch 138: 60/317 Loss: 18.321291
2023-05-22 09:00: Train Epoch 138: 80/317 Loss: 18.803415
2023-05-22 09:00: Train Epoch 138: 100/317 Loss: 16.294279
2023-05-22 09:00: Train Epoch 138: 120/317 Loss: 17.466841
2023-05-22 09:01: Train Epoch 138: 140/317 Loss: 16.737911
2023-05-22 09:01: Train Epoch 138: 160/317 Loss: 15.453832
2023-05-22 09:01: Train Epoch 138: 180/317 Loss: 17.026062
2023-05-22 09:01: Train Epoch 138: 200/317 Loss: 17.094721
2023-05-22 09:01: Train Epoch 138: 220/317 Loss: 17.314602
2023-05-22 09:01: Train Epoch 138: 240/317 Loss: 16.111189
2023-05-22 09:01: Train Epoch 138: 260/317 Loss: 17.420790
2023-05-22 09:01: Train Epoch 138: 280/317 Loss: 17.457958
2023-05-22 09:01: Train Epoch 138: 300/317 Loss: 18.130230
2023-05-22 09:01: **********Train Epoch 138: averaged Loss: 17.860351, tf_ratio: 1.000000
2023-05-22 09:01: **********Val Epoch 138: average Loss: 19.967519
2023-05-22 09:01: Train Epoch 139: 0/317 Loss: 17.842443
2023-05-22 09:02: Train Epoch 139: 20/317 Loss: 18.579220
2023-05-22 09:02: Train Epoch 139: 40/317 Loss: 17.404659
2023-05-22 09:02: Train Epoch 139: 60/317 Loss: 17.857950
2023-05-22 09:02: Train Epoch 139: 80/317 Loss: 18.074448
2023-05-22 09:02: Train Epoch 139: 100/317 Loss: 17.883051
2023-05-22 09:02: Train Epoch 139: 120/317 Loss: 16.358095
2023-05-22 09:02: Train Epoch 139: 140/317 Loss: 18.800667
2023-05-22 09:02: Train Epoch 139: 160/317 Loss: 21.053623
2023-05-22 09:02: Train Epoch 139: 180/317 Loss: 17.886215
2023-05-22 09:02: Train Epoch 139: 200/317 Loss: 17.423271
2023-05-22 09:02: Train Epoch 139: 220/317 Loss: 20.825531
2023-05-22 09:02: Train Epoch 139: 240/317 Loss: 19.506020
2023-05-22 09:03: Train Epoch 139: 260/317 Loss: 17.433718
2023-05-22 09:03: Train Epoch 139: 280/317 Loss: 17.830353
2023-05-22 09:03: Train Epoch 139: 300/317 Loss: 17.590422
2023-05-22 09:03: **********Train Epoch 139: averaged Loss: 17.865197, tf_ratio: 1.000000
2023-05-22 09:03: **********Val Epoch 139: average Loss: 19.464606
2023-05-22 09:03: Train Epoch 140: 0/317 Loss: 19.462397
2023-05-22 09:03: Train Epoch 140: 20/317 Loss: 17.803928
2023-05-22 09:03: Train Epoch 140: 40/317 Loss: 19.476818
2023-05-22 09:03: Train Epoch 140: 60/317 Loss: 17.206377
2023-05-22 09:03: Train Epoch 140: 80/317 Loss: 18.014362
2023-05-22 09:03: Train Epoch 140: 100/317 Loss: 19.455830
2023-05-22 09:03: Train Epoch 140: 120/317 Loss: 16.711514
2023-05-22 09:04: Train Epoch 140: 140/317 Loss: 17.504827
2023-05-22 09:04: Train Epoch 140: 160/317 Loss: 18.613096
2023-05-22 09:04: Train Epoch 140: 180/317 Loss: 18.716311
2023-05-22 09:04: Train Epoch 140: 200/317 Loss: 18.486094
2023-05-22 09:04: Train Epoch 140: 220/317 Loss: 19.305803
2023-05-22 09:04: Train Epoch 140: 240/317 Loss: 18.346945
2023-05-22 09:04: Train Epoch 140: 260/317 Loss: 17.201641
2023-05-22 09:04: Train Epoch 140: 280/317 Loss: 19.287710
2023-05-22 09:04: Train Epoch 140: 300/317 Loss: 17.071339
2023-05-22 09:04: **********Train Epoch 140: averaged Loss: 17.833512, tf_ratio: 1.000000
2023-05-22 09:04: **********Val Epoch 140: average Loss: 19.379808
2023-05-22 09:04: Train Epoch 141: 0/317 Loss: 15.558530
2023-05-22 09:04: Train Epoch 141: 20/317 Loss: 17.717051
2023-05-22 09:05: Train Epoch 141: 40/317 Loss: 16.871233
2023-05-22 09:05: Train Epoch 141: 60/317 Loss: 17.214342
2023-05-22 09:05: Train Epoch 141: 80/317 Loss: 17.627382
2023-05-22 09:05: Train Epoch 141: 100/317 Loss: 19.597725
2023-05-22 09:05: Train Epoch 141: 120/317 Loss: 19.100340
2023-05-22 09:05: Train Epoch 141: 140/317 Loss: 17.287979
2023-05-22 09:05: Train Epoch 141: 160/317 Loss: 19.964024
2023-05-22 09:05: Train Epoch 141: 180/317 Loss: 17.500244
2023-05-22 09:05: Train Epoch 141: 200/317 Loss: 18.734310
2023-05-22 09:05: Train Epoch 141: 220/317 Loss: 18.139664
2023-05-22 09:05: Train Epoch 141: 240/317 Loss: 18.439331
2023-05-22 09:05: Train Epoch 141: 260/317 Loss: 17.616173
2023-05-22 09:06: Train Epoch 141: 280/317 Loss: 19.600460
2023-05-22 09:06: Train Epoch 141: 300/317 Loss: 17.357807
2023-05-22 09:06: **********Train Epoch 141: averaged Loss: 17.825648, tf_ratio: 1.000000
2023-05-22 09:06: **********Val Epoch 141: average Loss: 19.615936
2023-05-22 09:06: Train Epoch 142: 0/317 Loss: 19.627699
2023-05-22 09:06: Train Epoch 142: 20/317 Loss: 17.841694
2023-05-22 09:06: Train Epoch 142: 40/317 Loss: 18.089056
2023-05-22 09:06: Train Epoch 142: 60/317 Loss: 17.052580
2023-05-22 09:06: Train Epoch 142: 80/317 Loss: 16.802877
2023-05-22 09:06: Train Epoch 142: 100/317 Loss: 18.957535
2023-05-22 09:06: Train Epoch 142: 120/317 Loss: 18.702681
2023-05-22 09:06: Train Epoch 142: 140/317 Loss: 18.493002
2023-05-22 09:06: Train Epoch 142: 160/317 Loss: 20.871323
2023-05-22 09:07: Train Epoch 142: 180/317 Loss: 17.796627
2023-05-22 09:07: Train Epoch 142: 200/317 Loss: 19.133644
2023-05-22 09:07: Train Epoch 142: 220/317 Loss: 15.972455
2023-05-22 09:07: Train Epoch 142: 240/317 Loss: 17.700516
2023-05-22 09:07: Train Epoch 142: 260/317 Loss: 18.060232
2023-05-22 09:07: Train Epoch 142: 280/317 Loss: 18.868601
2023-05-22 09:07: Train Epoch 142: 300/317 Loss: 16.523829
2023-05-22 09:07: **********Train Epoch 142: averaged Loss: 17.820448, tf_ratio: 1.000000
2023-05-22 09:07: **********Val Epoch 142: average Loss: 19.423969
2023-05-22 09:07: Train Epoch 143: 0/317 Loss: 15.679975
2023-05-22 09:07: Train Epoch 143: 20/317 Loss: 17.492098
2023-05-22 09:07: Train Epoch 143: 40/317 Loss: 18.643578
2023-05-22 09:07: Train Epoch 143: 60/317 Loss: 18.203045
2023-05-22 09:08: Train Epoch 143: 80/317 Loss: 19.266029
2023-05-22 09:08: Train Epoch 143: 100/317 Loss: 16.692991
2023-05-22 09:08: Train Epoch 143: 120/317 Loss: 19.410837
2023-05-22 09:08: Train Epoch 143: 140/317 Loss: 18.191891
2023-05-22 09:08: Train Epoch 143: 160/317 Loss: 17.271896
2023-05-22 09:08: Train Epoch 143: 180/317 Loss: 17.735382
2023-05-22 09:08: Train Epoch 143: 200/317 Loss: 17.751991
2023-05-22 09:08: Train Epoch 143: 220/317 Loss: 16.666243
2023-05-22 09:08: Train Epoch 143: 240/317 Loss: 16.738501
2023-05-22 09:08: Train Epoch 143: 260/317 Loss: 17.104862
2023-05-22 09:08: Train Epoch 143: 280/317 Loss: 16.271606
2023-05-22 09:08: Train Epoch 143: 300/317 Loss: 17.050989
2023-05-22 09:09: **********Train Epoch 143: averaged Loss: 17.822787, tf_ratio: 1.000000
2023-05-22 09:09: **********Val Epoch 143: average Loss: 19.629860
2023-05-22 09:09: Train Epoch 144: 0/317 Loss: 17.140732
2023-05-22 09:09: Train Epoch 144: 20/317 Loss: 19.609718
2023-05-22 09:09: Train Epoch 144: 40/317 Loss: 15.244783
2023-05-22 09:09: Train Epoch 144: 60/317 Loss: 17.389944
2023-05-22 09:09: Train Epoch 144: 80/317 Loss: 18.330599
2023-05-22 09:09: Train Epoch 144: 100/317 Loss: 18.817387
2023-05-22 09:09: Train Epoch 144: 120/317 Loss: 15.265403
2023-05-22 09:09: Train Epoch 144: 140/317 Loss: 17.559654
2023-05-22 09:09: Train Epoch 144: 160/317 Loss: 19.259811
2023-05-22 09:09: Train Epoch 144: 180/317 Loss: 15.204166
2023-05-22 09:09: Train Epoch 144: 200/317 Loss: 18.008928
2023-05-22 09:10: Train Epoch 144: 220/317 Loss: 19.098108
2023-05-22 09:10: Train Epoch 144: 240/317 Loss: 16.648998
2023-05-22 09:10: Train Epoch 144: 260/317 Loss: 16.584696
2023-05-22 09:10: Train Epoch 144: 280/317 Loss: 16.652428
2023-05-22 09:10: Train Epoch 144: 300/317 Loss: 19.439693
2023-05-22 09:10: **********Train Epoch 144: averaged Loss: 17.800740, tf_ratio: 1.000000
2023-05-22 09:10: **********Val Epoch 144: average Loss: 20.077369
2023-05-22 09:10: Train Epoch 145: 0/317 Loss: 18.123533
2023-05-22 09:10: Train Epoch 145: 20/317 Loss: 17.989500
2023-05-22 09:10: Train Epoch 145: 40/317 Loss: 17.032263
2023-05-22 09:10: Train Epoch 145: 60/317 Loss: 18.657795
2023-05-22 09:10: Train Epoch 145: 80/317 Loss: 14.733192
